Marc Chu%Avengers: Age of Ultron
Nadav Ehrlich%Avengers: Age of Ultron
Stephen Enticott%Avengers: Age of Ultron
Anthony Rizzo%Avengers: Age of Ultron
Leonard F.W. Green%Avengers: Age of Ultron
Anthony Di Ninno%The Lone Ranger
Anthony Di Ninno%Man of Steel
Allen Hall%Man of Steel
David Wallace Allen%Man of Steel
Colin Strause%The Avengers
Greg Strause%The Avengers
Anouk Deveault-Moreau%The Avengers
Michel Mielke%The Avengers
Julie Orosz%The Avengers
Alessandro Cioffi%The Avengers
Daniel Brimer%The Avengers
Susan Pickett%The Avengers
Daniel P. Rosen%The Avengers
Sean Cushing%The Avengers
Erik Nash%The Avengers
Matt McDonald%The Avengers
Cyndi Ochs%The Avengers
Guy Williams%The Avengers
Jeff Atherton%The Avengers
Mihaela Chifor%The Avengers
John L. Jack%The Avengers
Kathleen Lynch%The Avengers
Georg Wieland%The Avengers
Bryan Grill%The Avengers
Venti Hristova%The Avengers
Janek Sirrs%The Avengers
Nigel Sumner%The Avengers
Jeff White%The Avengers
Tom Meade%The Avengers
Scott F. Johnston%The Avengers
James Baker%The Avengers
Travis Tohill%The Avengers
Mike Marcuzzi%The Avengers
Aaron Williams%Pirates of the Caribbean: On Stranger Tides
Phil Tippett%Jurassic World
Tim Alexander%Jurassic World
Sean House%Jurassic World
Cameron Widen%Jurassic World
Greg Maloney%Jurassic World
Katherine Rodtsbrooks%Jurassic World
Shawn Walsh%Jurassic World
Allan B. Holt%Jurassic World
Justin Gladden%Jurassic World
Mike Dharney%Jurassic World
Kyle Dunlevy%Jurassic World
Travis Tohill%Jurassic World
Cameron Folds%Jurassic World
Peer Lemmers%Jurassic World
Andrew Malesky%Jurassic World
Luis Carlos Uribe%Jurassic World
Bob Wilson%Jurassic World
Eric Bates%Jurassic World
Emilio Ghorayeb%Jurassic World
Jeff Frost%Jurassic World
Laura Aldridge%Jurassic World
Michael Amato%Jurassic World
Alex Aponte%Jurassic World
Jeffrey Benedict%Jurassic World
Jacqueline Cooper%Jurassic World
Todd D'Amario%Jurassic World
Alexis Forni%Jurassic World
Sheila Giroux%Jurassic World
Neal Halter%Jurassic World
Ryan Hopkins%Jurassic World
Peggy Hrastar%Jurassic World
Chad Hudson%Jurassic World
Flannery Huntley%Jurassic World
Marchand Jooste%Jurassic World
Shawn Kelly%Jurassic World
Stephen King%Jurassic World
James Jooyoung Lee%Jurassic World
Ting Lo%Jurassic World
Ting Lo%Jurassic World
Mark Mancewicz%Jurassic World
Mike Marcuzzi%Jurassic World
Chris F. Moore%Jurassic World
Ariele Podreider Lenzi%Jurassic World
Loren Robinson%Jurassic World
Yandri Sanchez%Jurassic World
Roman Schmidt%Jurassic World
Paul Sharpe%Jurassic World
Jubinville Steve%Jurassic World
Jenn Taylor%Jurassic World
Jeff Tetzlaff%Jurassic World
Mark Trowbridge%Jurassic World
Tim Yang%Jurassic World
Pearlyn Yeo%Jurassic World
Nicholas Cabana%Jurassic World
Cristina Falcon%Jurassic World
Yuhon Ng%Jurassic World
Jeremy Stewart%Jurassic World
Keith Patrick Turner%Jurassic World
Michael Galbraith%Jurassic World
Guy Williams%Iron Man 3
Scott F. Johnston%Iron Man 3
Joel Foster%Alice in Wonderland
Ian Blum%Alice in Wonderland
Travis Tohill%Transformers: Revenge of the Fallen
Erik Baker%Transformers: Revenge of the Fallen
Emilio Ghorayeb%Transformers: Revenge of the Fallen
Ahdee Chiu%Transformers: Age of Extinction
Nigel Denton-Howes%Transformers: Age of Extinction
Mohen Leo%Transformers: Age of Extinction
Greg Maloney%Transformers: Age of Extinction
Karey Maltzahn%Transformers: Age of Extinction
Ben Pickering%Transformers: Age of Extinction
Shelly Sharma%Transformers: Age of Extinction
Dane Allan Smith%Transformers: Age of Extinction
Mark Van Ee%Transformers: Age of Extinction
Anthony Rizzo%Transformers: Age of Extinction
Kyle Dunlevy%Transformers: Age of Extinction
Erik Baker%Transformers: Age of Extinction
Emilio Ghorayeb%Transformers: Age of Extinction
Aaron Williams%Transformers: Age of Extinction
Yuhon Ng%Transformers: Age of Extinction
Erik Baker%TRON: Legacy
Victor Navone%Cars 2
Shannon Adelia Ryan%Cars 2
Michal Makarewicz%Cars 2
Lucy Laliberte%Cars 2
Michael Parks%A Christmas Carol
Jimmy Almeida%A Christmas Carol
Yuhon Ng%A Christmas Carol
John Norris%Jupiter Ascending
Pierre Buffin%Jupiter Ascending
Alain Lachance%Jupiter Ascending
Marc A. Rousseau%Jupiter Ascending
Angela Barson%Jupiter Ascending
Matt Dessero%Jupiter Ascending
Simon Carr%Jupiter Ascending
Jim Mitchell%Jupiter Ascending
Michael Mulholland%Jupiter Ascending
David Vickery%Jupiter Ascending
Aaron Williams%Jupiter Ascending
Stephen Aplin%Jupiter Ascending
Elizabeth Leslie%Jupiter Ascending
Graham Martin%Jupiter Ascending
Christina Graham%Jupiter Ascending
Chloe Harrison%Jupiter Ascending
Fabrice Lett%Jupiter Ascending
Rob Shears%Jupiter Ascending
Stuart Bullen%Jupiter Ascending
Geoffrey Niquet%Jupiter Ascending
David Rouxel%Jupiter Ascending
Daniele Zannone%The Legend of Tarzan
